A00	Cholera
Q71.02	Congenital complete absence of left upper limb
Q71.03	Congenital complete absence of upper limb, bilateral
Q71.1	Congenital absence of upper arm and forearm with hand present
Q71.10	Congenital absence of unspecified upper arm and forearm with hand present
Q71.11	Congenital absence of right upper arm and forearm with hand present
Q71.12	Congenital absence of left upper arm and forearm with hand present
Q71.13	Congenital absence of upper arm and forearm with hand present, bilateral
Q71.2	Congenital absence of both forearm and hand
Q71.20	Congenital absence of both forearm and hand, unspecified upper limb
Q71.21	Congenital absence of both forearm and hand, right upper limb
Q71.22	Congenital absence of both forearm and hand, left upper limb
Q71.23	Congenital absence of both forearm and hand, bilateral
Q71.3	Congenital absence of hand and finger
Q71.30	Congenital absence of unspecified hand and finger
Q71.31	Congenital absence of right hand and finger
Q71.32	Congenital absence of left hand and finger
Q71.33	Congenital absence of hand and finger, bilateral
Q71.4	Longitudinal reduction defect of radius
Q71.40	Longitudinal reduction defect of unspecified radius
Q71.41	Longitudinal reduction defect of right radius
Q71.42	Longitudinal reduction defect of left radius
Q71.43	Longitudinal reduction defect of radius, bilateral
Q71.5	Longitudinal reduction defect of ulna
Q71.50	Longitudinal reduction defect of unspecified ulna
Q71.51	Longitudinal reduction defect of right ulna
Q71.52	Longitudinal reduction defect of left ulna
Q71.53	Longitudinal reduction defect of ulna, bilateral
Q71.6	Lobster-claw hand
Q71.60	Lobster-claw hand, unspecified hand
Q71.61	Lobster-claw right hand
Q71.62	Lobster-claw left hand
Q71.63	Lobster-claw hand, bilateral
Q71.8	Other reduction defects of upper limb
Q71.81	Congenital shortening of upper limb
Q71.811	Congenital shortening of right upper limb
Q71.812	Congenital shortening of left upper limb
Q71.813	Congenital shortening of upper limb, bilateral
Q71.819	Congenital shortening of unspecified upper limb
Q71.89	Other reduction defects of upper limb
Q71.891	Other reduction defects of right upper limb
Q71.892	Other reduction defects of left upper limb
Q71.893	Other reduction defects of upper limb, bilateral
Q71.899	Other reduction defects of unspecified upper limb
Q71.9	Unspecified reduction defect of upper limb
Q71.90	Unspecified reduction defect of unspecified upper limb
Q71.91	Unspecified reduction defect of right upper limb
Q71.92	Unspecified reduction defect of left upper limb
Q71.93	Unspecified reduction defect of upper limb, bilateral
Q72	Reduction defects of lower limb
Q72.0	Congenital complete absence of lower limb
Q72.00	Congenital complete absence of unspecified lower limb
Q72.01	Congenital complete absence of right lower limb
Q72.02	Congenital complete absence of left lower limb
Q72.03	Congenital complete absence of lower limb, bilateral
Q72.1	Congenital absence of thigh and lower leg with foot present
Q72.10	Congenital absence of unspecified thigh and lower leg with foot present
Q72.11	Congenital absence of right thigh and lower leg with foot present
Q72.12	Congenital absence of left thigh and lower leg with foot present
Q72.13	Congenital absence of thigh and lower leg with foot present, bilateral
Q72.2	Congenital absence of both lower leg and foot
Q72.20	Congenital absence of both lower leg and foot, unspecified lower limb
Q72.21	Congenital absence of both lower leg and foot, right lower limb
Q72.22	Congenital absence of both lower leg and foot, left lower limb
Q72.23	Congenital absence of both lower leg and foot, bilateral
Q72.3	Congenital absence of foot and toe(s)
Q72.30	Congenital absence of unspecified foot and toe(s)
Q72.31	Congenital absence of right foot and toe(s)
Q72.32	Congenital absence of left foot and toe(s)
Q72.33	Congenital absence of foot and toe(s), bilateral
Q72.4	Longitudinal reduction defect of femur
Q72.40	Longitudinal reduction defect of unspecified femur
Q72.41	Longitudinal reduction defect of right femur
Q72.42	Longitudinal reduction defect of left femur
Q72.43	Longitudinal reduction defect of femur, bilateral
Q72.5	Longitudinal reduction defect of tibia
Q72.50	Longitudinal reduction defect of unspecified tibia
Q72.51	Longitudinal reduction defect of right tibia
Q72.52	Longitudinal reduction defect of left tibia
Q72.53	Longitudinal reduction defect of tibia, bilateral
Q72.6	Longitudinal reduction defect of fibula
Q72.60	Longitudinal reduction defect of unspecified fibula
Q72.61	Longitudinal reduction defect of right fibula
Q72.62	Longitudinal reduction defect of left fibula
Q72.63	Longitudinal reduction defect of fibula, bilateral
Q72.7	Split foot
Q72.70	Split foot, unspecified lower limb
Q72.71	Split foot, right lower limb
Q72.72	Split foot, left lower limb
Q72.73	Split foot, bilateral
Q72.8	Other reduction defects of lower limb
Q72.81	Congenital shortening of lower limb
Q72.811	Congenital shortening of right lower limb
Q72.812	Congenital shortening of left lower limb
Q72.813	Congenital shortening of lower limb, bilateral
Q72.819	Congenital shortening of unspecified lower limb
Q72.89	Other reduction defects of lower limb
Q72.891	Other reduction defects of right lower limb
Q72.892	Other reduction defects of left lower limb
Q72.893	Other reduction defects of lower limb, bilateral
Q72.899	Other reduction defects of unspecified lower limb
Q72.9	Unspecified reduction defect of lower limb
Q72.90	Unspecified reduction defect of unspecified lower limb
Q72.91	Unspecified reduction defect of right lower limb
Q72.92	Unspecified reduction defect of left lower limb
Q72.93	Unspecified reduction defect of lower limb, bilateral
Q73	Reduction defects of unspecified limb
Q73.0	Congenital absence of unspecified limb(s)
Q73.1	Phocomelia, unspecified limb(s)
Q73.8	Other reduction defects of unspecified limb(s)
Q74	Other congenital malformations of limb(s)
Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle
Q74.1	Congenital malformation of knee
Q74.2	Other congenital malformations of lower limb(s), including pelvic girdle
Q74.3	Arthrogryposis multiplex congenita
Q74.8	Other specified congenital malformations of limb(s)
Q74.9	Unspecified congenital malformation of limb(s)
Q75	Other congenital malformations of skull and face bones
Q75.0	Craniosynostosis
Q75.1	Craniofacial dysostosis
Q75.2	Hypertelorism
Q75.3	Macrocephaly
Q75.4	Mandibulofacial dysostosis
Q75.5	Oculomandibular dysostosis
Q75.8	Other specified congenital malformations of skull and face bones
Q75.9	Congenital malformation of skull and face bones, unspecified
Q76	Congenital malformations of spine and bony thorax
Q76.0	Spina bifida occulta
Q76.1	Klippel-Feil syndrome
Q76.2	Congenital spondylolisthesis
Q76.3	Congenital scoliosis due to congenital bony malformation
Q76.4	Other congenital malformations of spine, not associated with scoliosis
Q76.41	Congenital kyphosis
Q76.411	Congenital kyphosis, occipito-atlanto-axial region
Q76.412	Congenital kyphosis, cervical region
Q76.413	Congenital kyphosis, cervicothoracic region
Q76.414	Congenital kyphosis, thoracic region
Q76.415	Congenital kyphosis, thoracolumbar region
Q76.419	Congenital kyphosis, unspecified region
Q76.42	Congenital lordosis
Q76.425	Congenital lordosis, thoracolumbar region
Q76.426	Congenital lordosis, lumbar region
Q76.427	Congenital lordosis, lumbosacral region
Q76.428	Congenital lordosis, sacral and sacrococcygeal region
Q76.429	Congenital lordosis, unspecified region
Q76.49	Other congenital malformations of spine, not associated with scoliosis
Q76.5	Cervical rib
Q76.6	Other congenital malformations of ribs
Q76.7	Congenital malformation of sternum
Q76.8	Other congenital malformations of bony thorax
Q76.9	Congenital malformation of bony thorax, unspecified
Q77	Osteochondrodysplasia with defects of growth of tubular bones and spine
Q77.0	Achondrogenesis
Q77.1	Thanatophoric short stature
Q77.2	Short rib syndrome
Q77.3	Chondrodysplasia punctata
Q77.4	Achondroplasia
Q77.5	Diastrophic dysplasia
Q77.6	Chondroectodermal dysplasia
Q77.7	Spondyloepiphyseal dysplasia
Q77.8	Other osteochondrodysplasia with defects of growth of tubular bones and spine
Q77.9	Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified
Q78	Other osteochondrodysplasias
Q78.0	Osteogenesis imperfecta
Q78.1	Polyostotic fibrous dysplasia
Q78.2	Osteopetrosis
Q78.3	Progressive diaphyseal dysplasia
Q78.4	Enchondromatosis
Q78.5	Metaphyseal dysplasia
Q78.6	Multiple congenital exostoses
Q78.8	Other specified osteochondrodysplasias
Q78.9	Osteochondrodysplasia, unspecified
Q79	Congenital malformations of musculoskeletal system, not elsewhere classified
Q79.0	Congenital diaphragmatic hernia
Q79.1	Other congenital malformations of diaphragm
Q79.2	Exomphalos
Q79.3	Gastroschisis
Q79.4	Prune belly syndrome
Q79.5	Other congenital malformations of abdominal wall
Q79.51	Congenital hernia of bladder
Q79.59	Other congenital malformations of abdominal wall
Q79.6	Ehlers-Danlos syndrome
Q79.8	Other congenital malformations of musculoskeletal system
Q79.9	Congenital malformation of musculoskeletal system, unspecified
Q80	Congenital ichthyosis
Q80.0	Ichthyosis vulgaris
Q80.1	X-linked ichthyosis
Q80.2	Lamellar ichthyosis
Q80.3	Congenital bullous ichthyosiform erythroderma
Q80.4	Harlequin fetus
Q80.8	Other congenital ichthyosis
Q80.9	Congenital ichthyosis, unspecified
Q81	Epidermolysis bullosa
Q81.0	Epidermolysis bullosa simplex
Q81.1	Epidermolysis bullosa letalis
Q81.2	Epidermolysis bullosa dystrophica
Q81.8	Other epidermolysis bullosa
Q81.9	Epidermolysis bullosa, unspecified
Q82	Other congenital malformations of skin
Q82.0	Hereditary lymphedema
Q82.1	Xeroderma pigmentosum
Q82.2	Mastocytosis
Q82.3	Incontinentia pigmenti
Q82.4	Ectodermal dysplasia (anhidrotic)
Q82.5	Congenital non-neoplastic nevus
Q82.8	Other specified congenital malformations of skin
Q82.9	Congenital malformation of skin, unspecified
Q83	Congenital malformations of breast
Q83.0	Congenital absence of breast with absent nipple
Q83.1	Accessory breast
Q83.2	Absent nipple
Q83.3	Accessory nipple
Q83.8	Other congenital malformations of breast
Q83.9	Congenital malformation of breast, unspecified
Q84	Other congenital malformations of integument
Q84.0	Congenital alopecia
Q84.1	Congenital morphological disturbances of hair, not elsewhere classified
Q84.2	Other congenital malformations of hair
Q84.3	Anonychia
Q84.4	Congenital leukonychia
Q84.5	Enlarged and hypertrophic nails
Q84.6	Other congenital malformations of nails
Q84.8	Other specified congenital malformations of integument
Q84.9	Congenital malformation of integument, unspecified
Q85	Phakomatoses, not elsewhere classified
Q85.0	Neurofibromatosis (nonmalignant)
Q85.00	Neurofibromatosis, unspecified
Q85.01	Neurofibromatosis, type 1
Q85.02	Neurofibromatosis, type 2
Q85.03	Schwannomatosis
Q85.09	Other neurofibromatosis
Q85.1	Tuberous sclerosis
Q85.8	Other phakomatoses, not elsewhere classified
Q85.9	Phakomatosis, unspecified
Q86	Congenital malformation syndromes due to known exogenous causes, not elsewhere classified
Q86.0	Fetal alcohol syndrome (dysmorphic)
Q86.1	Fetal hydantoin syndrome
Q86.2	Dysmorphism due to warfarin
Q86.8	Other congenital malformation syndromes due to known exogenous causes
Q87	Other specified congenital malformation syndromes affecting multiple systems
Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
Q87.1	Congenital malformation syndromes predominantly associated with short stature
Q87.2	Congenital malformation syndromes predominantly involving limbs
Q87.3	Congenital malformation syndromes involving early overgrowth
Q87.4	Marfan's syndrome
Q87.40	Marfan's syndrome, unspecified
Q87.41	Marfan's syndrome with cardiovascular manifestations
Q87.410	Marfan's syndrome with aortic dilation
Q87.418	Marfan's syndrome with other cardiovascular manifestations
Q87.42	Marfan's syndrome with ocular manifestations
Q87.43	Marfan's syndrome with skeletal manifestation
Q87.5	Other congenital malformation syndromes with other skeletal changes
Q87.8	Other specified congenital malformation syndromes, not elsewhere classified
Q87.81	Alport syndrome
Q87.89	Other specified congenital malformation syndromes, not elsewhere classified
Q89	Other congenital malformations, not elsewhere classified
Q89.0	Congenital absence and malformations of spleen
Q89.01	Asplenia (congenital)
Q89.09	Congenital malformations of spleen
Q89.1	Congenital malformations of adrenal gland
Q89.2	Congenital malformations of other endocrine glands
Q89.3	Situs inversus
Q89.4	Conjoined twins
Q89.7	Multiple congenital malformations, not elsewhere classified
Q89.8	Other specified congenital malformations
Q89.9	Congenital malformation, unspecified
Q90	Down syndrome
Q90.0	Trisomy 21, nonmosaicism (meiotic nondisjunction)
Q90.1	Trisomy 21, mosaicism (mitotic nondisjunction)
Q90.2	Trisomy 21, translocation
Q90.9	Down syndrome, unspecified
Q91	Trisomy 18 and Trisomy 13
Q91.0	Trisomy 18, nonmosaicism (meiotic nondisjunction)
Q91.1	Trisomy 18, mosaicism (mitotic nondisjunction)
Q91.2	Trisomy 18, translocation
Q91.3	Trisomy 18, unspecified
Q91.4	Trisomy 13, nonmosaicism (meiotic nondisjunction)
Q91.5	Trisomy 13, mosaicism (mitotic nondisjunction)
Q91.6	Trisomy 13, translocation
Q91.7	Trisomy 13, unspecified
Q92	Other trisomies and partial trisomies of the autosomes, not elsewhere classified
Q92.0	Whole chromosome trisomy, nonmosaicism (meiotic nondisjunction)
Q92.1	Whole chromosome trisomy, mosaicism (mitotic nondisjunction)
Q92.2	Partial trisomy
Q92.5	Duplications with other complex rearrangements
Q92.6	Marker chromosomes
Q92.61	Marker chromosomes in normal individual
Q92.62	Marker chromosomes in abnormal individual
Q92.7	Triploidy and polyploidy
Q92.8	Other specified trisomies and partial trisomies of autosomes
Q92.9	Trisomy and partial trisomy of autosomes, unspecified
Q93	Monosomies and deletions from the autosomes, not elsewhere classified
Q93.0	Whole chromosome monosomy, nonmosaicism (meiotic nondisjunction)
Q93.1	Whole chromosome monosomy, mosaicism (mitotic nondisjunction)
Q93.2	Chromosome replaced with ring, dicentric or isochromosome
Q93.3	Deletion of short arm of chromosome 4
Q93.4	Deletion of short arm of chromosome 5
Q93.5	Other deletions of part of a chromosome
Q93.7	Deletions with other complex rearrangements
Q93.8	Other deletions from the autosomes
Q93.81	Velo-cardio-facial syndrome
Q93.88	Other microdeletions
Q93.89	Other deletions from the autosomes
Q93.9	Deletion from autosomes, unspecified
Q95	Balanced rearrangements and structural markers, not elsewhere classified
Q95.0	Balanced translocation and insertion in normal individual
Q95.1	Chromosome inversion in normal individual
Q95.2	Balanced autosomal rearrangement in abnormal individual
Q95.3	Balanced sex/autosomal rearrangement in abnormal individual
Q95.5	Individual with autosomal fragile site
Q95.8	Other balanced rearrangements and structural markers
Q95.9	Balanced rearrangement and structural marker, unspecified
Q96	Turner's syndrome
Q96.0	Karyotype 45, X
Q96.1	Karyotype 46, X iso (Xq)
Q96.2	Karyotype 46, X with abnormal sex chromosome, except iso (Xq)
Q96.3	Mosaicism, 45, X/46, XX or XY
Q96.4	Mosaicism, 45, X/other cell line(s) with abnormal sex chromosome
Q96.8	Other variants of Turner's syndrome
Q96.9	Turner's syndrome, unspecified
Q97	Other sex chromosome abnormalities, female phenotype, not elsewhere classified
Q97.0	Karyotype 47, XXX
Q97.1	Female with more than three X chromosomes
Q97.2	Mosaicism, lines with various numbers of X chromosomes
Q97.3	Female with 46, XY karyotype
Q97.8	Other specified sex chromosome abnormalities, female phenotype
Q97.9	Sex chromosome abnormality, female phenotype, unspecified
Q98	Other sex chromosome abnormalities, male phenotype, not elsewhere classified
Q98.0	Klinefelter syndrome karyotype 47, XXY
Q98.1	Klinefelter syndrome, male with more than two X chromosomes
Q98.3	Other male with 46, XX karyotype
Q98.4	Klinefelter syndrome, unspecified
Q98.5	Karyotype 47, XYY
Q98.6	Male with structurally abnormal sex chromosome
Q98.7	Male with sex chromosome mosaicism
Q98.8	Other specified sex chromosome abnormalities, male phenotype
Q98.9	Sex chromosome abnormality, male phenotype, unspecified
Q99	Other chromosome abnormalities, not elsewhere classified
Q99.0	Chimera 46, XX/46, XY
Q99.1	46, XX true hermaphrodite
Q99.2	Fragile X chromosome
Q99.8	Other specified chromosome abnormalities
Q99.9	Chromosomal abnormality, unspecified
18	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  (R00-R99)
R00	Abnormalities of heart beat
R00.0	Tachycardia, unspecified
R00.1	Bradycardia, unspecified
R00.2	Palpitations
R00.8	Other abnormalities of heart beat
R00.9	Unspecified abnormalities of heart beat
R01	Cardiac murmurs and other cardiac sounds
R01.0	Benign and innocent cardiac murmurs
R01.1	Cardiac murmur, unspecified
R01.2	Other cardiac sounds
R03	Abnormal blood-pressure reading, without diagnosis
R03.0	Elevated blood-pressure reading, without diagnosis of hypertension
R03.1	Nonspecific low blood-pressure reading
R04	Hemorrhage from respiratory passages
R04.0	Epistaxis
R04.1	Hemorrhage from throat
R04.2	Hemoptysis
R04.8	Hemorrhage from other sites in respiratory passages
R04.81	Acute idiopathic pulmonary hemorrhage in infants
R04.89	Hemorrhage from other sites in respiratory passages
R04.9	Hemorrhage from respiratory passages, unspecified
R05	Cough
R06	Abnormalities of breathing
R06.0	Dyspnea
R06.00	Dyspnea, unspecified
R06.01	Orthopnea
R06.02	Shortness of breath
R06.09	Other forms of dyspnea
R06.1	Stridor
R06.2	Wheezing
R06.3	Periodic breathing
R06.4	Hyperventilation
R06.5	Mouth breathing
R06.6	Hiccough
R06.7	Sneezing
R06.8	Other abnormalities of breathing
R06.81	Apnea, not elsewhere classified
R06.82	Tachypnea, not elsewhere classified
R06.83	Snoring
R06.89	Other abnormalities of breathing
R06.9	Unspecified abnormalities of breathing
R07	Pain in throat and chest
R07.0	Pain in throat
R07.1	Chest pain on breathing
R07.2	Precordial pain
R07.8	Other chest pain
R07.81	Pleurodynia
R07.82	Intercostal pain
R07.89	Other chest pain
R07.9	Chest pain, unspecified
R09	Other symptoms and signs involving the circulatory and respiratory system
R09.0	Asphyxia and hypoxemia
R09.01	Asphyxia
R09.02	Hypoxemia
R09.1	Pleurisy
R09.2	Respiratory arrest
R09.3	Abnormal sputum
R09.8	Other specified symptoms and signs involving the circulatory and respiratory systems
R09.81	Nasal congestion
R09.82	Postnasal drip
R09.89	Other specified symptoms and signs involving the circulatory and respiratory systems
R10	Abdominal and pelvic pain
R10.0	Acute abdomen
R10.1	Pain localized to upper abdomen
R10.10	Upper abdominal pain, unspecified
R10.11	Right upper quadrant pain
R10.12	Left upper quadrant pain
R10.13	Epigastric pain
R10.2	Pelvic and perineal pain
R10.3	Pain localized to other parts of lower abdomen
R10.30	Lower abdominal pain, unspecified
R10.31	Right lower quadrant pain
R10.32	Left lower quadrant pain
R10.33	Periumbilical pain
R10.8	Other abdominal pain
R10.81	Abdominal tenderness
R10.811	Right upper quadrant abdominal tenderness
R10.812	Left upper quadrant abdominal tenderness
R10.813	Right lower quadrant abdominal tenderness
R10.814	Left lower quadrant abdominal tenderness
R10.815	Periumbilic abdominal tenderness
R10.816	Epigastric abdominal tenderness
R10.817	Generalized abdominal tenderness
R10.819	Abdominal tenderness, unspecified site
R10.82	Rebound abdominal tenderness
R10.821	Right upper quadrant rebound abdominal tenderness
R10.822	Left upper quadrant rebound abdominal tenderness
R10.823	Right lower quadrant rebound abdominal tenderness
R10.824	Left lower quadrant rebound abdominal tenderness
R10.825	Periumbilic rebound abdominal tenderness
R10.826	Epigastric rebound abdominal tenderness
R10.827	Generalized rebound abdominal tenderness
R10.829	Rebound abdominal tenderness, unspecified site
R10.83	Colic
R10.84	Generalized abdominal pain
R10.9	Unspecified abdominal pain
R11	Nausea and vomiting
R11.0	Nausea
R11.1	Vomiting
R11.10	Vomiting, unspecified
R11.11	Vomiting without nausea
R11.12	Projectile vomiting
R11.13	Vomiting of fecal matter
R11.14	Bilious vomiting
R11.2	Nausea with vomiting, unspecified
R12	Heartburn
R13	Aphagia and dysphagia
R13.0	Aphagia
R13.1	Dysphagia
R13.10	Dysphagia, unspecified
R13.11	Dysphagia, oral phase
R13.12	Dysphagia, oropharyngeal phase
R13.13	Dysphagia, pharyngeal phase
R13.14	Dysphagia, pharyngoesophageal phase
R13.19	Other dysphagia
R14	Flatulence and related conditions
R14.0	Abdominal distension (gaseous)
R14.1	Gas pain
R14.2	Eructation
R14.3	Flatulence
R15	Fecal incontinence
R15.0	Incomplete defecation
R15.1	Fecal smearing
R15.2	Fecal urgency
R15.9	Full incontinence of feces
R16	Hepatomegaly and splenomegaly, not elsewhere classified
R16.0	Hepatomegaly, not elsewhere classified
R16.1	Splenomegaly, not elsewhere classified
R16.2	Hepatomegaly with splenomegaly, not elsewhere classified
R17	Unspecified jaundice
R18	Ascites
R18.0	Malignant ascites
R18.8	Other ascites
R19	Other symptoms and signs involving the digestive system and abdomen
R19.0	Intra-abdominal and pelvic swelling, mass and lump
R19.00	Intra-abdominal and pelvic swelling, mass and lump, unspecified site
R19.01	Right upper quadrant abdominal swelling, mass and lump
R19.02	Left upper quadrant abdominal swelling, mass and lump
R19.03	Right lower quadrant abdominal swelling, mass and lump
R19.04	Left lower quadrant abdominal swelling, mass and lump
R19.05	Periumbilic swelling, mass or lump
R19.06	Epigastric swelling, mass or lump
R19.07	Generalized intra-abdominal and pelvic swelling, mass and lump
R19.09	Other intra-abdominal and pelvic swelling, mass and lump
R19.1	Abnormal bowel sounds
R19.11	Absent bowel sounds
R19.12	Hyperactive bowel sounds
R19.15	Other abnormal bowel sounds
R19.2	Visible peristalsis
R19.3	Abdominal rigidity
R19.30	Abdominal rigidity, unspecified site
R19.31	Right upper quadrant abdominal rigidity
R19.32	Left upper quadrant abdominal rigidity
R19.33	Right lower quadrant abdominal rigidity
R19.34	Left lower quadrant abdominal rigidity
R19.35	Periumbilic abdominal rigidity
R19.36	Epigastric abdominal rigidity
R19.37	Generalized abdominal rigidity
R19.4	Change in bowel habit
R19.5	Other fecal abnormalities
R19.6	Halitosis
R19.7	Diarrhea, unspecified
R19.8	Other specified symptoms and signs involving the digestive system and abdomen
R20	Disturbances of skin sensation
R20.0	Anesthesia of skin
R20.1	Hypoesthesia of skin
R20.2	Paresthesia of skin
R20.3	Hyperesthesia
R20.8	Other disturbances of skin sensation
R20.9	Unspecified disturbances of skin sensation
R21	Rash and other nonspecific skin eruption
R22	Localized swelling, mass and lump of skin and subcutaneous tissue
R22.0	Localized swelling, mass and lump, head
R22.1	Localized swelling, mass and lump, neck
R22.2	Localized swelling, mass and lump, trunk
R22.3	Localized swelling, mass and lump, upper limb
R22.30	Localized swelling, mass and lump, unspecified upper limb
R22.31	Localized swelling, mass and lump, right upper limb
R22.32	Localized swelling, mass and lump, left upper limb
R22.33	Localized swelling, mass and lump, upper limb, bilateral
R22.4	Localized swelling, mass and lump, lower limb
R22.40	Localized swelling, mass and lump, unspecified lower limb
R22.41	Localized swelling, mass and lump, right lower limb
R22.42	Localized swelling, mass and lump, left lower limb
R22.43	Localized swelling, mass and lump, lower limb, bilateral
R22.9	Localized swelling, mass and lump, unspecified
R23	Other skin changes
R23.0	Cyanosis
R23.1	Pallor
R23.2	Flushing
R23.3	Spontaneous ecchymoses
R23.4	Changes in skin texture
R23.8	Other skin changes
R23.9	Unspecified skin changes
R25	Abnormal involuntary movements
R25.0	Abnormal head movements
R25.1	Tremor, unspecified
R25.2	Cramp and spasm
R25.3	Fasciculation
R25.8	Other abnormal involuntary movements
R25.9	Unspecified abnormal involuntary movements
R26	Abnormalities of gait and mobility
R26.0	Ataxic gait
R26.1	Paralytic gait
R26.2	Difficulty in walking, not elsewhere classified
R26.8	Other abnormalities of gait and mobility
R26.81	Unsteadiness on feet
R26.89	Other abnormalities of gait and mobility
R26.9	Unspecified abnormalities of gait and mobility
R27	Other lack of coordination
R27.0	Ataxia, unspecified
R27.8	Other lack of coordination
R27.9	Unspecified lack of coordination
R29	Other symptoms and signs involving the nervous and musculoskeletal systems
R29.0	Tetany
R29.1	Meningismus
R29.2	Abnormal reflex
R29.3	Abnormal posture
R29.4	Clicking hip
R29.5	Transient paralysis
R29.6	Repeated falls
R29.8	Other symptoms and signs involving the nervous and musculoskeletal systems
R29.81	Other symptoms and signs involving the nervous system
R29.810	Facial weakness
R29.818	Other symptoms and signs involving the nervous system
R29.89	Other symptoms and signs involving the musculoskeletal system
R29.890	Loss of height
R29.891	Ocular torticollis
R29.898	Other symptoms and signs involving the musculoskeletal system
R29.9	Unspecified symptoms and signs involving the nervous and musculoskeletal systems
R29.90	Unspecified symptoms and signs involving the nervous system
R29.91	Unspecified symptoms and signs involving the musculoskeletal system
R30	Pain associated with micturition
R30.0	Dysuria
R30.1	Vesical tenesmus
R30.9	Painful micturition, unspecified
R31	Hematuria
R31.0	Gross hematuria
R31.1	Benign essential microscopic hematuria
R31.2	Other microscopic hematuria
R31.9	Hematuria, unspecified
R32	Unspecified urinary incontinence
R33	Retention of urine
R33.0	Drug induced retention of urine
R33.8	Other retention of urine
R33.9	Retention of urine, unspecified
R34	Anuria and oliguria
R35	Polyuria
R35.0	Frequency of micturition
R35.1	Nocturia
R35.8	Other polyuria
R36	Urethral discharge
R36.0	Urethral discharge without blood
R36.1	Hematospermia
R36.9	Urethral discharge, unspecified
R37	Sexual dysfunction, unspecified
R39	Other and unspecified symptoms and signs involving the genitourinary system
R39.0	Extravasation of urine
R39.1	Other difficulties with micturition
R39.11	Hesitancy of micturition
R39.12	Poor urinary stream
R39.13	Splitting of urinary stream
R39.14	Feeling of incomplete bladder emptying
R39.15	Urgency of urination
R39.16	Straining to void
R39.19	Other difficulties with micturition
R39.2	Extrarenal uremia
R39.8	Other symptoms and signs involving the genitourinary system
R39.81	Functional urinary incontinence
R39.89	Other symptoms and signs involving the genitourinary system
R39.9	Unspecified symptoms and signs involving the genitourinary system
R40	Somnolence, stupor and coma
R40.0	Somnolence
R40.1	Stupor
R40.2	Coma
R40.20	Unspecified coma
R40.21	Coma scale, eyes open
R40.211	Coma scale, eyes open, never
R40.212	Coma scale, eyes open, to pain
R40.213	Coma scale, eyes open, to sound
R40.214	Coma scale, eyes open, spontaneous
R40.22	Coma scale, best verbal response
R40.221	Coma scale, best verbal response, none
R40.222	Coma scale, best verbal response, incomprehensible words
R40.223	Coma scale, best verbal response, inappropriate words
R40.224	Coma scale, best verbal response, confused conversation
R40.225	Coma scale, best verbal response, oriented
R40.23	Coma scale, best motor response
R40.231	Coma scale, best motor response, none
R40.232	Coma scale, best motor response, extension
R40.233	Coma scale, best motor response, abnormal
R40.234	Coma scale, best motor response, flexion withdrawal
R40.235	Coma scale, best motor response, localizes pain
R40.236	Coma scale, best motor response, obeys commands
R40.24	Glasgow coma scale, total score
R40.241	Glasgow coma scale score 13-15
R40.242	Glasgow coma scale score 9-12
R40.243	Glasgow coma scale score 3-8
R40.244	Other coma, without documented Glasgow coma scale score, or with partial score reported
R40.3	Persistent vegetative state
R40.4	Transient alteration of awareness
R41	Other symptoms and signs involving cognitive functions and awareness
R41.0	Disorientation, unspecified
R41.1	Anterograde amnesia
R41.2	Retrograde amnesia
R41.3	Other amnesia
R41.4	Neurologic neglect syndrome
R41.8	Other symptoms and signs involving cognitive functions and awareness
R41.81	Age-related cognitive decline
R41.82	Altered mental status, unspecified
R41.83	Borderline intellectual functioning
R41.84	Other specified cognitive deficit
R41.840	Attention and concentration deficit
R41.841	Cognitive communication deficit
R41.842	Visuospatial deficit
R41.843	Psychomotor deficit
R41.844	Frontal lobe and executive function deficit
R41.89	Other symptoms and signs involving cognitive functions and awareness
R41.9	Unspecified symptoms and signs involving cognitive functions and awareness
R42	Dizziness and giddiness
R43	Disturbances of smell and taste
R43.0	Anosmia
R43.1	Parosmia
R43.2	Parageusia
R43.8	Other disturbances of smell and taste
R43.9	Unspecified disturbances of smell and taste
R44	Other symptoms and signs involving general sensations and perceptions
R44.0	Auditory hallucinations
R44.1	Visual hallucinations
R44.2	Other hallucinations
R44.3	Hallucinations, unspecified
R44.8	Other symptoms and signs involving general sensations and perceptions
R44.9	Unspecified symptoms and signs involving general sensations and perceptions
R45	Symptoms and signs involving emotional state
R45.0	Nervousness
R45.1	Restlessness and agitation
R45.2	Unhappiness
R45.3	Demoralization and apathy
R45.4	Irritability and anger
R45.5	Hostility
R45.6	Violent behavior
R45.7	State of emotional shock and stress, unspecified
R45.8	Other symptoms and signs involving emotional state
R45.81	Low self-esteem
R45.82	Worries
R45.83	Excessive crying of child, adolescent or adult
R45.84	Anhedonia
R45.85	Homicidal and suicidal ideations
R45.850	Homicidal ideations
R45.851	Suicidal ideations
R45.86	Emotional lability
R45.87	Impulsiveness
R45.89	Other symptoms and signs involving emotional state
R46	Symptoms and signs involving appearance and behavior
R46.0	Very low level of personal hygiene
R46.1	Bizarre personal appearance
R46.2	Strange and inexplicable behavior
R46.3	Overactivity
R46.4	Slowness and poor responsiveness
